Gender,Age,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Response
Male,61,1,1-2 Year,No,26217.0,0
Male,29,1,< 1 Year,No,23514.0,0
Female,21,1,< 1 Year,No,36886.0,0
Female,30,1,< 1 Year,No,31951.0,0
Female,29,1,< 1 Year,No,46427.0,0
Male,24,1,< 1 Year,No,29185.0,0
Female,27,1,< 1 Year,No,27526.0,0
Female,23,1,< 1 Year,No,37800.0,0
Male,60,0,1-2 Year,Yes,34823.0,1
Male,26,1,< 1 Year,No,32472.0,0
Male,75,1,1-2 Year,No,2630.0,0
Male,37,1,1-2 Year,No,32838.0,0
Male,50,0,> 2 Years,Yes,41715.0,0
Male,47,1,1-2 Year,No,31877.0,0
Male,34,0,1-2 Year,Yes,26838.0,0
Female,20,1,< 1 Year,No,32413.0,0
Male,26,0,< 1 Year,No,2630.0,0
Female,46,1,1-2 Year,Yes,39926.0,0
Female,26,1,< 1 Year,No,2630.0,0
Male,25,1,< 1 Year,No,51672.0,0
Male,43,1,1-2 Year,Yes,29633.0,0
Male,30,1,< 1 Year,No,40310.0,0
Male,22,0,< 1 Year,Yes,22676.0,0
Male,44,0,1-2 Year,Yes,41064.0,0
Female,34,1,1-2 Year,No,33683.0,0
Female,34,0,1-2 Year,Yes,2630.0,1
Female,24,1,< 1 Year,No,34940.0,0
Male,26,1,< 1 Year,No,29682.0,0
Male,25,1,< 1 Year,No,38114.0,0
Male,54,0,> 2 Years,Yes,2630.0,1
Female,27,0,< 1 Year,Yes,31406.0,0
Female,44,0,1-2 Year,Yes,27348.0,1
Female,26,1,< 1 Year,No,36872.0,0
Male,45,0,1-2 Year,Yes,34340.0,0
Male,21,1,< 1 Year,No,34787.0,0
Female,28,1,< 1 Year,Yes,2630.0,0
Female,25,1,< 1 Year,No,33077.0,0
Female,23,1,< 1 Year,No,29809.0,0
Female,25,1,< 1 Year,No,30915.0,0
Female,24,0,< 1 Year,Yes,53749.0,0
Female,62,1,1-2 Year,Yes,26948.0,0
Female,28,1,< 1 Year,No,23982.0,0
Female,23,1,< 1 Year,No,51817.0,0
Female,26,1,< 1 Year,No,22797.0,0
Male,43,0,1-2 Year,Yes,49708.0,1
Male,43,1,1-2 Year,No,27621.0,0
Male,21,1,< 1 Year,No,50381.0,0
Female,35,0,1-2 Year,Yes,37250.0,1
Female,30,1,< 1 Year,No,36571.0,0
Female,23,0,< 1 Year,Yes,30899.0,0
Female,31,0,1-2 Year,Yes,2630.0,1
Male,22,1,< 1 Year,No,39494.0,0
Female,21,1,< 1 Year,No,28699.0,0
Male,39,0,1-2 Year,Yes,2630.0,0
Male,41,0,1-2 Year,Yes,29262.0,1
Male,56,0,< 1 Year,No,2630.0,0
Male,77,1,1-2 Year,No,44264.0,0
Female,27,1,< 1 Year,No,26601.0,0
Male,43,0,1-2 Year,Yes,30109.0,1
Female,24,0,< 1 Year,No,42720.0,0
Male,26,1,< 1 Year,No,24223.0,0
Female,36,0,1-2 Year,Yes,2630.0,1
Male,23,1,< 1 Year,No,24186.0,0
Male,62,1,1-2 Year,No,28841.0,0
Female,51,0,1-2 Year,No,2630.0,0
Male,41,0,1-2 Year,Yes,29728.0,0
Female,42,1,1-2 Year,No,30786.0,0
Male,26,1,< 1 Year,No,25403.0,0
Male,21,1,< 1 Year,No,27523.0,0
Female,22,0,< 1 Year,Yes,19908.0,0
Male,50,1,1-2 Year,No,31104.0,0
Male,27,1,< 1 Year,No,29203.0,0
Male,29,1,< 1 Year,No,48615.0,0
Female,22,1,< 1 Year,No,31566.0,0
Female,25,0,< 1 Year,Yes,42677.0,0
Female,25,0,< 1 Year,Yes,26110.0,0
Male,46,1,1-2 Year,No,41678.0,0
Female,24,1,< 1 Year,No,56708.0,0
Female,62,0,1-2 Year,Yes,39827.0,0
Female,24,0,< 1 Year,No,28978.0,0
Female,61,0,1-2 Year,Yes,40703.0,0
Male,64,0,> 2 Years,Yes,32328.0,0
Female,67,0,1-2 Year,Yes,35991.0,0
Female,51,0,1-2 Year,Yes,51778.0,0
Male,30,1,< 1 Year,No,30933.0,0
Female,51,1,1-2 Year,No,25591.0,0
Male,59,0,1-2 Year,Yes,15844.0,0
Female,60,0,1-2 Year,Yes,36234.0,0
Female,35,1,1-2 Year,No,27639.0,0
Female,45,0,1-2 Year,Yes,30846.0,0
Male,34,0,1-2 Year,Yes,2630.0,0
Female,44,1,1-2 Year,No,2630.0,0
Male,31,0,1-2 Year,No,27775.0,0
Male,25,1,< 1 Year,No,24055.0,0
Female,23,1,< 1 Year,No,23669.0,0
Male,78,1,1-2 Year,No,39856.0,0
Female,22,0,< 1 Year,Yes,31282.0,1
Female,22,0,< 1 Year,Yes,34922.0,0
Male,52,0,1-2 Year,Yes,42660.0,0
Female,63,0,1-2 Year,No,2630.0,0
Male,52,0,1-2 Year,Yes,28539.0,1
Male,25,1,< 1 Year,No,35516.0,0
Male,46,0,1-2 Year,Yes,41543.0,1
Female,22,1,< 1 Year,No,32456.0,0
Female,45,1,1-2 Year,No,38029.0,0
Male,26,1,< 1 Year,No,2630.0,0
Male,41,1,1-2 Year,No,48667.0,0
Female,23,1,< 1 Year,No,48550.0,0
Female,56,0,1-2 Year,Yes,31726.0,0
Female,31,0,< 1 Year,No,45832.0,0
Male,38,1,1-2 Year,No,31110.0,0
Female,25,1,< 1 Year,No,48178.0,0
Male,66,1,1-2 Year,No,38308.0,0
Female,37,1,1-2 Year,No,56719.0,0
Male,29,0,1-2 Year,No,25484.0,0
Male,46,1,1-2 Year,No,44978.0,0
Male,68,0,1-2 Year,Yes,46721.0,0
Female,21,1,< 1 Year,No,24764.0,0
Male,69,1,1-2 Year,No,38023.0,0
Male,59,1,1-2 Year,No,43206.0,0
Male,47,0,1-2 Year,Yes,43346.0,1
Male,68,1,1-2 Year,No,37754.0,0
Male,41,0,1-2 Year,Yes,30105.0,0
Male,26,1,< 1 Year,No,28067.0,0
Male,46,0,1-2 Year,Yes,32404.0,1
Female,21,0,< 1 Year,Yes,28721.0,0
Male,26,1,< 1 Year,No,24019.0,0
Male,51,0,1-2 Year,Yes,27483.0,0
Female,22,1,< 1 Year,No,35703.0,0
Female,42,0,1-2 Year,Yes,48137.0,1
Female,44,0,1-2 Year,Yes,41634.0,0
Female,55,1,1-2 Year,No,2630.0,0
Male,21,0,< 1 Year,Yes,34914.0,0
Male,25,1,< 1 Year,No,18812.0,0
Female,24,0,< 1 Year,Yes,32617.0,0
Male,23,0,< 1 Year,Yes,28162.0,0
Female,47,1,1-2 Year,No,31456.0,0
Male,23,1,< 1 Year,No,38937.0,0
Male,42,0,1-2 Year,Yes,2630.0,0
Female,24,1,< 1 Year,No,30709.0,0
Female,23,1,< 1 Year,No,22130.0,0
Female,44,0,1-2 Year,Yes,36998.0,0
Female,41,0,1-2 Year,Yes,34386.0,1
Male,46,0,1-2 Year,Yes,35579.0,1
Male,42,0,1-2 Year,Yes,47841.0,1
Female,42,0,1-2 Year,Yes,44101.0,0
Male,44,0,1-2 Year,Yes,32223.0,0
Female,25,1,< 1 Year,No,24787.0,0
Female,31,0,1-2 Year,Yes,2630.0,1
Male,24,0,< 1 Year,Yes,37650.0,1
Female,24,1,< 1 Year,No,14134.0,0
Male,55,1,1-2 Year,No,2630.0,0
Female,29,1,< 1 Year,No,33914.0,0
Female,43,0,1-2 Year,Yes,21751.0,1
Male,44,0,> 2 Years,Yes,27913.0,1
Female,23,1,< 1 Year,Yes,34444.0,0
Female,54,0,> 2 Years,Yes,45608.0,0
Male,24,1,< 1 Year,No,33196.0,0
Female,45,0,1-2 Year,Yes,36906.0,0
Male,33,0,1-2 Year,Yes,2630.0,1
Female,36,0,1-2 Year,No,22903.0,1
Male,49,0,1-2 Year,Yes,29172.0,0
Female,27,1,< 1 Year,No,28471.0,0
Female,36,0,1-2 Year,No,32367.0,0
Male,31,0,1-2 Year,Yes,24552.0,0
Male,26,0,< 1 Year,No,25528.0,0
Female,24,1,< 1 Year,No,33462.0,0
Female,35,0,1-2 Year,Yes,30096.0,1
Male,57,0,1-2 Year,Yes,26194.0,1
Male,37,0,1-2 Year,Yes,26640.0,1
Female,33,1,< 1 Year,No,39880.0,0
Male,23,1,< 1 Year,No,40938.0,0
Male,72,1,1-2 Year,No,30661.0,0
Female,22,0,< 1 Year,No,2630.0,0
Male,29,0,< 1 Year,Yes,48945.0,1
Female,56,0,1-2 Year,Yes,2630.0,0
Male,40,0,1-2 Year,Yes,2630.0,1
Female,57,1,1-2 Year,No,2630.0,0
Male,40,0,1-2 Year,Yes,37857.0,1
Male,21,0,< 1 Year,Yes,48519.0,0
Male,70,1,1-2 Year,No,33085.0,0
Male,26,1,< 1 Year,No,25855.0,0
Female,21,0,< 1 Year,Yes,23939.0,0
Male,30,0,< 1 Year,Yes,47817.0,0
Male,33,0,< 1 Year,Yes,27933.0,0
Male,59,0,1-2 Year,Yes,42641.0,0
Female,58,0,1-2 Year,Yes,42775.0,0
Female,25,1,< 1 Year,No,26369.0,0
Female,30,0,1-2 Year,Yes,40053.0,0
Male,69,1,1-2 Year,No,48150.0,0
Male,24,1,< 1 Year,No,40965.0,0
Female,77,0,1-2 Year,Yes,57438.0,0
Male,33,1,< 1 Year,No,23752.0,0
Male,37,0,1-2 Year,Yes,28658.0,1
Female,44,0,1-2 Year,Yes,20724.0,0
Male,23,1,< 1 Year,No,2630.0,0
Female,22,1,< 1 Year,No,38400.0,0
Female,68,1,1-2 Year,No,39447.0,0
Male,43,1,1-2 Year,No,28308.0,0
Female,27,0,< 1 Year,No,27993.0,0
Female,72,1,1-2 Year,No,35702.0,0
Male,47,0,> 2 Years,Yes,32160.0,0
Female,22,1,< 1 Year,No,22088.0,0
Female,38,1,1-2 Year,Yes,35826.0,0
Female,80,1,1-2 Year,No,44561.0,0
Female,40,1,1-2 Year,No,27448.0,0
Male,54,1,1-2 Year,Yes,22964.0,0
Female,25,1,< 1 Year,No,37551.0,0
Male,39,0,1-2 Year,No,29238.0,0
Male,26,0,< 1 Year,Yes,19247.0,0
Male,57,0,1-2 Year,Yes,2630.0,1
Male,42,1,1-2 Year,No,40920.0,0
Male,30,1,< 1 Year,No,37429.0,0
Female,24,0,< 1 Year,Yes,2630.0,0
Male,39,1,1-2 Year,No,28997.0,0
Female,43,0,1-2 Year,Yes,2630.0,1
Female,35,0,1-2 Year,Yes,45798.0,0
Female,41,0,1-2 Year,No,28735.0,0
Female,46,1,1-2 Year,Yes,2630.0,0
Male,68,1,1-2 Year,No,33087.0,0
Female,33,0,1-2 Year,Yes,2630.0,0
Male,22,1,< 1 Year,No,47163.0,0
Female,45,0,1-2 Year,Yes,59267.0,0
Male,35,0,1-2 Year,Yes,37437.0,0
Female,48,1,1-2 Year,No,30107.0,0
Male,48,1,1-2 Year,Yes,47643.0,0
Female,23,1,< 1 Year,No,57309.0,0
Female,42,1,1-2 Year,No,28114.0,0
Female,24,1,< 1 Year,No,46829.0,0
Male,39,0,1-2 Year,Yes,27271.0,0
Male,29,1,< 1 Year,No,2630.0,0
Female,30,0,< 1 Year,Yes,2630.0,1
Male,27,1,< 1 Year,No,23396.0,0
Male,60,0,> 2 Years,Yes,45439.0,0
Female,25,0,< 1 Year,Yes,29851.0,0
Male,51,0,1-2 Year,Yes,29072.0,0
Female,29,1,< 1 Year,No,2630.0,0
Male,25,1,< 1 Year,No,30162.0,0
Female,44,0,1-2 Year,Yes,17677.0,1
Female,64,0,1-2 Year,Yes,25414.0,0
Male,45,1,1-2 Year,No,29210.0,0
Male,22,1,1-2 Year,No,23008.0,0
Female,26,1,< 1 Year,No,38546.0,0
Female,37,0,1-2 Year,Yes,2630.0,0
Female,32,0,1-2 Year,Yes,2630.0,1
Female,45,0,1-2 Year,Yes,26134.0,0
Female,43,1,1-2 Year,No,2630.0,0
Female,64,1,1-2 Year,No,34172.0,0
Female,36,1,1-2 Year,No,2630.0,0
Female,28,1,< 1 Year,No,2630.0,0
Male,40,0,1-2 Year,Yes,34089.0,0
Female,45,0,1-2 Year,Yes,24587.0,0
Male,41,0,1-2 Year,Yes,26462.0,1
Male,28,1,< 1 Year,No,39768.0,0
Male,41,0,1-2 Year,Yes,27743.0,0
Female,23,1,< 1 Year,No,30359.0,0
Male,70,1,1-2 Year,No,40988.0,0
Male,50,0,1-2 Year,Yes,29682.0,1
Male,44,0,1-2 Year,Yes,2630.0,1
Male,79,0,1-2 Year,Yes,2630.0,0
Female,20,1,< 1 Year,No,22626.0,0
Male,51,1,1-2 Year,No,30903.0,0
Male,54,0,1-2 Year,Yes,48520.0,1
Male,23,1,< 1 Year,No,28344.0,0
Female,37,0,1-2 Year,Yes,31500.0,1
Female,24,1,< 1 Year,No,26088.0,0
Female,24,1,< 1 Year,No,27023.0,0
Female,23,1,< 1 Year,No,30754.0,0
Female,26,1,< 1 Year,Yes,2630.0,0
Female,28,1,< 1 Year,No,29889.0,0
Female,52,0,1-2 Year,Yes,40949.0,0
Male,42,1,1-2 Year,No,28725.0,0
Male,45,1,1-2 Year,No,38759.0,0
Female,48,0,1-2 Year,Yes,40873.0,1
Female,26,0,< 1 Year,Yes,22168.0,0
Female,27,1,< 1 Year,No,27786.0,0
Female,54,0,1-2 Year,Yes,36344.0,1
Female,27,1,< 1 Year,No,40443.0,0
Male,47,0,> 2 Years,Yes,36591.0,0
Female,39,0,1-2 Year,Yes,2630.0,1
Female,69,1,1-2 Year,Yes,59525.0,0
Male,42,0,1-2 Year,Yes,28512.0,0
Female,35,0,1-2 Year,Yes,32689.0,0
Male,29,1,< 1 Year,No,34028.0,0
Female,70,1,1-2 Year,No,36284.0,0
Female,40,1,1-2 Year,No,23186.0,0
Female,32,0,< 1 Year,Yes,30500.0,1
Male,23,0,< 1 Year,Yes,38326.0,0
Male,33,1,1-2 Year,No,27087.0,0
Male,55,0,1-2 Year,Yes,34283.0,0
Female,47,0,1-2 Year,Yes,2630.0,0
Male,40,0,1-2 Year,Yes,30718.0,0
Male,39,0,1-2 Year,Yes,37873.0,0
Female,49,0,1-2 Year,Yes,39335.0,0
Male,21,0,< 1 Year,Yes,2630.0,0
Female,42,0,1-2 Year,Yes,38801.0,0
Male,45,0,1-2 Year,Yes,2630.0,0
Male,57,0,1-2 Year,Yes,37158.0,0
Male,27,1,< 1 Year,No,23204.0,0
Male,24,1,< 1 Year,No,46378.0,0
Male,56,0,1-2 Year,Yes,38598.0,0
Male,42,1,1-2 Year,No,43081.0,0
Female,27,1,< 1 Year,No,20532.0,0
Male,41,0,1-2 Year,Yes,31987.0,0
Male,65,1,1-2 Year,No,26840.0,0
Male,72,0,> 2 Years,Yes,28662.0,0
Female,23,1,< 1 Year,No,40220.0,0
Male,49,0,1-2 Year,Yes,27880.0,0
Male,30,0,1-2 Year,Yes,2630.0,1
Male,54,0,1-2 Year,Yes,32129.0,0
Female,57,0,1-2 Year,Yes,44684.0,0
Male,40,1,1-2 Year,No,38214.0,0
Female,28,1,< 1 Year,No,2630.0,0
Male,51,1,1-2 Year,No,25617.0,0
Male,48,0,1-2 Year,Yes,26846.0,1
Female,25,0,< 1 Year,No,29892.0,0
Male,47,0,1-2 Year,Yes,46654.0,1
Female,41,1,1-2 Year,No,46160.0,0
Female,42,0,1-2 Year,Yes,2630.0,0
Female,23,0,< 1 Year,Yes,22318.0,0
Male,56,0,1-2 Year,Yes,30392.0,0
Female,21,1,< 1 Year,No,36782.0,0
Female,23,0,< 1 Year,Yes,41056.0,0
Male,26,1,< 1 Year,No,35791.0,0
Male,39,0,1-2 Year,Yes,38343.0,0
Female,38,0,1-2 Year,Yes,45445.0,0
Male,23,1,< 1 Year,No,31334.0,0
Male,75,1,1-2 Year,Yes,21472.0,0
Female,49,1,1-2 Year,No,22424.0,0
Male,59,0,1-2 Year,Yes,43257.0,0
Male,47,0,1-2 Year,Yes,45926.0,1
Male,25,0,< 1 Year,Yes,35362.0,0
Male,23,1,< 1 Year,No,25739.0,0
Female,28,1,< 1 Year,No,29145.0,0
Male,38,1,1-2 Year,No,34053.0,0
Male,36,1,1-2 Year,No,40997.0,0
Female,51,0,> 2 Years,Yes,36306.0,1
Male,50,0,1-2 Year,Yes,28273.0,1
Male,24,0,< 1 Year,Yes,2630.0,0
Male,57,0,1-2 Year,Yes,2630.0,0
Male,26,1,< 1 Year,No,30529.0,0
Male,21,1,< 1 Year,No,32158.0,0
Male,54,0,1-2 Year,Yes,29806.0,1
Male,45,0,1-2 Year,Yes,2630.0,0
Female,34,0,1-2 Year,Yes,45127.0,1
Male,40,1,1-2 Year,No,36062.0,0
Female,48,1,1-2 Year,No,33130.0,0
Male,55,0,1-2 Year,Yes,20454.0,1
Male,33,0,< 1 Year,Yes,24008.0,1
Male,32,1,< 1 Year,No,2630.0,0
Male,33,0,1-2 Year,Yes,24135.0,1
Male,69,0,1-2 Year,Yes,2630.0,1
Female,48,0,1-2 Year,Yes,38954.0,1
Male,80,0,1-2 Year,Yes,2630.0,0
Male,40,0,1-2 Year,Yes,26967.0,0
Female,25,0,1-2 Year,Yes,2630.0,1
Male,71,1,1-2 Year,No,39068.0,0
Male,45,0,1-2 Year,Yes,25562.0,0
Male,55,0,1-2 Year,Yes,24529.0,1
Female,22,1,< 1 Year,No,29911.0,0
Female,28,1,< 1 Year,No,20978.0,0
Male,35,1,1-2 Year,No,25706.0,0
Male,26,1,< 1 Year,No,2630.0,0
Female,23,0,< 1 Year,Yes,38819.0,0
Male,23,1,< 1 Year,No,24791.0,0
Male,52,0,1-2 Year,Yes,2630.0,1
Male,25,1,< 1 Year,No,30300.0,0
Male,24,1,< 1 Year,No,21405.0,0
Male,47,0,1-2 Year,Yes,38415.0,1
Female,24,1,< 1 Year,No,32077.0,0
Male,47,1,1-2 Year,No,32144.0,0
Male,54,0,1-2 Year,Yes,2630.0,1
Female,22,1,< 1 Year,No,37100.0,0
Male,22,0,< 1 Year,Yes,27437.0,1
Male,20,0,< 1 Year,Yes,2630.0,0
Male,77,1,1-2 Year,No,2630.0,0
Female,57,0,1-2 Year,Yes,58200.0,0
Male,57,0,1-2 Year,Yes,2630.0,0
Male,44,0,1-2 Year,Yes,40787.0,1
Male,28,1,< 1 Year,No,30466.0,0
Male,38,0,1-2 Year,Yes,28733.0,1
Male,48,1,1-2 Year,No,35634.0,0
Male,40,1,1-2 Year,No,27732.0,0
Male,76,1,1-2 Year,No,59197.0,0
Male,21,0,< 1 Year,Yes,45817.0,0
Male,52,0,1-2 Year,Yes,37738.0,0
Female,24,1,< 1 Year,No,2630.0,0
Female,44,0,1-2 Year,Yes,2630.0,0
Male,24,1,< 1 Year,No,27560.0,0
Male,60,1,1-2 Year,Yes,25234.0,0
Male,70,0,> 2 Years,Yes,60046.0,0
Female,24,1,< 1 Year,No,19244.0,0
Female,52,0,1-2 Year,Yes,34561.0,0
Male,21,1,< 1 Year,No,39682.0,0
Male,40,0,1-2 Year,Yes,22985.0,1
Male,52,0,1-2 Year,Yes,2630.0,1
Male,23,1,< 1 Year,No,32391.0,0
Female,21,0,< 1 Year,Yes,32804.0,0
Male,50,0,1-2 Year,Yes,40477.0,0
Male,42,0,1-2 Year,Yes,37237.0,1
Male,25,1,< 1 Year,No,2630.0,0
Female,52,0,1-2 Year,Yes,24591.0,1
Male,21,0,< 1 Year,Yes,30453.0,0
Female,43,0,1-2 Year,Yes,46759.0,0
Male,48,0,> 2 Years,Yes,46865.0,1
Male,72,0,1-2 Year,Yes,29899.0,0
Male,58,0,1-2 Year,No,31464.0,0
Female,72,1,1-2 Year,No,27800.0,0
Male,47,1,1-2 Year,Yes,26677.0,0
Female,21,1,< 1 Year,No,24971.0,0
Female,25,1,< 1 Year,No,33291.0,0
Male,22,1,< 1 Year,No,26774.0,0
Female,51,0,1-2 Year,Yes,43060.0,0
Male,22,0,< 1 Year,Yes,35457.0,0
Female,22,1,< 1 Year,No,60753.0,0
Male,50,0,1-2 Year,Yes,26422.0,1
Male,25,0,< 1 Year,Yes,27136.0,0
Female,22,1,< 1 Year,No,32806.0,0
Female,27,1,< 1 Year,No,21114.0,0
Male,33,0,< 1 Year,Yes,22332.0,1
Male,38,1,1-2 Year,Yes,2630.0,0
Female,61,1,1-2 Year,No,31263.0,0
Female,23,1,< 1 Year,No,56054.0,0
Female,23,0,< 1 Year,No,29926.0,0
Male,24,1,< 1 Year,No,27165.0,0
Male,39,0,1-2 Year,Yes,34987.0,0
Male,22,0,< 1 Year,Yes,27081.0,0
Male,44,0,1-2 Year,Yes,19891.0,0
Female,28,1,< 1 Year,No,43919.0,1
Female,57,1,1-2 Year,No,38693.0,0
Male,55,1,1-2 Year,No,30949.0,0
Male,64,1,1-2 Year,No,47699.0,0
Female,29,1,< 1 Year,No,25729.0,0
Male,25,1,< 1 Year,No,42334.0,0
Female,53,1,1-2 Year,No,50485.0,0
Female,27,1,< 1 Year,No,2630.0,0
Female,27,1,< 1 Year,No,35512.0,0
Male,28,1,< 1 Year,No,24465.0,0
Female,25,1,< 1 Year,No,42544.0,0
Female,49,0,< 1 Year,No,2630.0,0
Male,51,1,1-2 Year,No,45909.0,0
Female,29,1,< 1 Year,No,30384.0,0
Male,33,0,1-2 Year,Yes,32013.0,1
Male,50,1,1-2 Year,No,47213.0,0
Male,23,1,< 1 Year,No,31305.0,0
Male,32,0,< 1 Year,Yes,35790.0,0
Male,24,1,< 1 Year,No,26055.0,0
Female,35,0,1-2 Year,Yes,30722.0,1
Female,23,0,< 1 Year,Yes,41870.0,0
Male,20,1,< 1 Year,No,36358.0,0
Female,31,1,< 1 Year,No,32060.0,0
Male,31,0,< 1 Year,Yes,2630.0,1
Female,78,1,1-2 Year,No,41433.0,0
Female,48,1,1-2 Year,No,32876.0,0
Male,25,1,< 1 Year,No,29462.0,0
Male,22,0,< 1 Year,Yes,18567.0,0
Male,56,0,1-2 Year,Yes,28431.0,1
Male,76,0,> 2 Years,Yes,61771.0,0
Male,21,0,< 1 Year,Yes,31922.0,0
Male,50,1,1-2 Year,No,45968.0,0
Male,24,1,< 1 Year,No,33544.0,0
Female,21,0,1-2 Year,Yes,26686.0,1
Female,34,0,1-2 Year,Yes,2630.0,0
Female,72,1,1-2 Year,No,60110.0,0
Male,22,0,< 1 Year,Yes,43552.0,0
Male,24,1,< 1 Year,No,40134.0,0
Male,24,1,< 1 Year,No,23258.0,0
Female,23,1,< 1 Year,No,20161.0,0
Male,46,0,1-2 Year,Yes,36007.0,0
Female,64,0,1-2 Year,No,51813.0,0
Female,21,1,< 1 Year,No,28906.0,0
Male,52,0,1-2 Year,Yes,44449.0,0
Female,65,0,1-2 Year,Yes,35664.0,0
Male,47,0,> 2 Years,Yes,38287.0,0
Female,47,0,1-2 Year,Yes,43623.0,0
Female,30,1,< 1 Year,No,2630.0,0
Female,68,1,1-2 Year,No,36077.0,0
Male,48,0,1-2 Year,Yes,35391.0,1
Male,33,1,< 1 Year,No,22913.0,1
Male,35,0,1-2 Year,Yes,2630.0,0
Female,22,0,< 1 Year,No,27349.0,0
Female,23,1,< 1 Year,No,29559.0,0
Male,50,1,1-2 Year,No,43652.0,0
Female,21,0,< 1 Year,Yes,38140.0,0
Female,45,0,1-2 Year,Yes,36375.0,1
Female,22,0,< 1 Year,No,34012.0,0
Female,26,1,< 1 Year,No,19766.0,0
Male,27,1,< 1 Year,Yes,31986.0,0
Female,22,1,< 1 Year,No,32878.0,0
Male,29,1,< 1 Year,No,2630.0,0
Female,21,0,< 1 Year,Yes,26882.0,0
Female,24,1,< 1 Year,No,37724.0,0
Male,24,1,< 1 Year,No,38570.0,0
Female,25,1,< 1 Year,No,29323.0,0
Male,28,0,< 1 Year,No,25120.0,0
Male,49,0,> 2 Years,Yes,43157.0,1
Male,24,1,< 1 Year,No,42462.0,0
Male,31,0,1-2 Year,Yes,2630.0,1
Male,42,1,1-2 Year,No,29678.0,0
Male,22,1,< 1 Year,No,35763.0,0
Male,23,1,< 1 Year,No,46390.0,0
Male,46,0,1-2 Year,Yes,32925.0,0
Male,45,0,1-2 Year,Yes,22892.0,1
Male,43,1,1-2 Year,No,49018.0,0
Male,65,0,1-2 Year,Yes,36098.0,1
Male,58,1,1-2 Year,No,36069.0,0
Male,29,1,1-2 Year,Yes,32228.0,0
Female,26,0,< 1 Year,Yes,2630.0,0
Male,41,0,1-2 Year,Yes,62057.0,1
Male,41,0,1-2 Year,Yes,38115.0,1
Female,24,1,< 1 Year,No,22589.0,0
Male,66,1,1-2 Year,No,59798.0,0
Female,28,1,< 1 Year,No,30654.0,0
Male,55,1,1-2 Year,No,25652.0,0
Female,25,1,< 1 Year,No,35891.0,0
Female,33,0,< 1 Year,Yes,47579.0,1
Male,50,0,1-2 Year,Yes,48056.0,0
Female,40,0,> 2 Years,Yes,30417.0,1
Male,24,1,< 1 Year,No,29072.0,0
Female,29,0,< 1 Year,Yes,56046.0,0
Male,61,0,1-2 Year,Yes,2630.0,1
Male,55,1,1-2 Year,No,38478.0,0
Female,37,0,< 1 Year,No,2630.0,0
Female,23,1,< 1 Year,No,40919.0,0
Male,26,1,< 1 Year,No,45495.0,0
Female,21,1,< 1 Year,No,33953.0,0
Female,21,0,< 1 Year,Yes,35817.0,0
Male,26,1,< 1 Year,No,27653.0,0
Male,22,0,< 1 Year,Yes,33971.0,0
Male,23,0,< 1 Year,Yes,17160.0,0
Male,39,1,1-2 Year,No,43872.0,0
Female,20,1,< 1 Year,No,26341.0,0
Female,23,0,1-2 Year,Yes,31497.0,0
Male,32,1,< 1 Year,No,28071.0,0
Female,23,1,< 1 Year,No,19142.0,0
Male,62,1,1-2 Year,No,38944.0,0
Male,24,1,< 1 Year,No,29528.0,0
Male,29,0,> 2 Years,Yes,29727.0,0
Male,27,1,< 1 Year,No,39044.0,0
Female,27,1,< 1 Year,No,56893.0,0
Male,24,1,< 1 Year,No,22993.0,0
Male,51,1,1-2 Year,No,41946.0,0
Female,37,0,1-2 Year,Yes,31453.0,0
Male,63,1,1-2 Year,No,2630.0,0
Female,30,1,< 1 Year,No,33560.0,0
Male,39,1,1-2 Year,Yes,29050.0,0
Female,23,1,< 1 Year,No,47487.0,0
Female,47,0,1-2 Year,Yes,31066.0,1
Female,31,0,1-2 Year,No,26944.0,0
Male,24,0,< 1 Year,Yes,41026.0,1
Male,47,1,1-2 Year,No,34696.0,0
Female,46,0,1-2 Year,Yes,33958.0,1
Female,58,1,1-2 Year,No,35124.0,0
Female,28,0,1-2 Year,Yes,45977.0,1
Female,27,1,< 1 Year,No,28526.0,0
Male,39,0,1-2 Year,Yes,32430.0,0
Male,21,0,< 1 Year,No,44459.0,0
Female,42,0,1-2 Year,Yes,24695.0,1
Male,46,1,1-2 Year,No,43378.0,0
Male,23,0,< 1 Year,Yes,48180.0,0
Male,40,1,1-2 Year,No,28330.0,0
Female,27,1,< 1 Year,No,28475.0,0
Female,24,1,< 1 Year,No,37364.0,0
Male,54,1,1-2 Year,No,31448.0,0
Male,40,0,1-2 Year,Yes,36372.0,1
Female,24,1,< 1 Year,No,37529.0,0
Female,23,0,< 1 Year,No,34246.0,1
Female,23,1,< 1 Year,No,27761.0,0
Male,23,1,< 1 Year,No,29736.0,0
Female,69,0,1-2 Year,Yes,2630.0,0
Female,21,0,< 1 Year,Yes,56484.0,0
Female,26,0,< 1 Year,No,37490.0,0
Female,64,0,> 2 Years,Yes,34343.0,0
Female,40,0,1-2 Year,Yes,30097.0,0
Female,62,1,1-2 Year,No,37188.0,0
Male,24,1,< 1 Year,No,34218.0,0
Male,22,1,< 1 Year,No,23027.0,0
Female,26,1,< 1 Year,No,25564.0,0
Female,26,1,< 1 Year,No,37164.0,0
Male,23,0,< 1 Year,Yes,42226.0,0
Female,35,0,1-2 Year,Yes,31445.0,0
Female,33,0,< 1 Year,Yes,2630.0,1
Female,41,0,1-2 Year,Yes,34604.0,0
